ppb,tpp,consec,runtime,wattage
120,2,0,2.6253638,229.7
236,1,0,6.206628,232.0
99,1,1,6.2738756,233.2
16,12,0,0.1112554,209.6
13,7,0,0.2440452,215.4
10,14,0,0.0993776,205.7
74,1,1,6.2258132,234.3
105,2,0,2.6581128,231.0
46,2,0,2.6866198,231.0
32,2,1,1.6385154,228.3
17,6,1,0.3061984,214.7
22,6,0,0.3964442,218.6
84,2,0,2.6350608,232.0
34,5,1,0.4101424,216.6
13,8,1,0.204438,210.8
23,5,0,0.6287814,222.3
49,2,0,2.7018586,224.4
70,3,0,1.3391294,229.5
239,1,0,6.23093,231.8
68,1,0,6.2033694,232.4
11,18,0,0.14048,208.8
8,14,1,0.0733668,204.3
179,1,0,6.2566848,228.7
132,1,1,6.2101606,225.0
20,11,1,0.1101926,203.0
14,10,0,0.1133064,209.6
216,1,0,6.2030668,231.6
106,1,0,6.2503668,232.8
15,16,0,0.0674426,204.9
150,1,1,6.190954,233.4
63,4,1,0.5481634,219.3
7,12,1,0.0897096,204.1
10,17,1,0.0679948,201.8
35,3,1,0.9352924,224.6
247,1,1,6.198711,232.0
36,2,0,2.6790974,231.2
12,18,0,0.1313816,205.1
9,23,0,0.1020456,194.6
16,8,0,0.2586014,210.0
177,1,0,6.2745718,225.6
122,1,0,6.2690188,233.0
107,2,0,2.6591552,231.4
218,1,1,6.2209954,232.4
91,1,0,6.2679884,232.4
14,16,1,0.0765866,202.6
15,8,0,0.2608354,211.7
